Datetime,Water Level (m)
2024-05-24 18:00:00,0.5537939
2024-05-24 19:00:00,0.64512527
2024-05-24 20:00:00,0.64481616
2024-05-24 21:00:00,0.5358013
2024-05-24 22:00:00,0.36747864
2024-05-24 23:00:00,0.2346279
2024-05-25 00:00:00,0.10420343
2024-05-25 01:00:00,-0.029945482
2024-05-25 02:00:00,-0.1643041
2024-05-25 03:00:00,-0.23331341
2024-05-25 04:00:00,0.021426553
2024-05-25 05:00:00,0.39327353
2024-05-25 06:00:00,0.68441814
2024-05-25 07:00:00,0.90116537
2024-05-25 08:00:00,1.0501511
2024-05-25 09:00:00,1.0743723
2024-05-25 10:00:00,0.9576531
2024-05-25 11:00:00,0.8133766
2024-05-25 12:00:00,0.7027692
2024-05-25 13:00:00,0.5924222
2024-05-25 14:00:00,0.48503283
2024-05-25 15:00:00,0.3930203
2024-05-25 16:00:00,0.39368898
2024-05-25 17:00:00,0.63872814
2024-05-25 18:00:00,0.91356605
2024-05-25 19:00:00,1.0644786
2024-05-25 20:00:00,1.1058291
2024-05-25 21:00:00,1.0487868
2024-05-25 22:00:00,0.91773564
2024-05-25 23:00:00,0.775437
2024-05-26 00:00:00,0.6541854
2024-05-26 01:00:00,0.5295301
2024-05-26 02:00:00,0.40633938
2024-05-26 03:00:00,0.3133805
2024-05-26 04:00:00,0.35438594
2024-05-26 05:00:00,0.6735806
2024-05-26 06:00:00,1.0331621
2024-05-26 07:00:00,1.2748463
2024-05-26 08:00:00,1.4522732
2024-05-26 09:00:00,1.5589372
2024-05-26 10:00:00,1.5258261
2024-05-26 11:00:00,1.4621482
2024-05-26 12:00:00,1.4199393
2024-05-26 13:00:00,1.3716624
2024-05-26 14:00:00,1.3053426
2024-05-26 15:00:00,1.2378548
2024-05-26 16:00:00,1.2476249
2024-05-26 17:00:00,1.4336753
2024-05-26 18:00:00,1.7271603
2024-05-26 19:00:00,1.9850029
2024-05-26 20:00:00,2.092996
2024-05-26 21:00:00,2.078903
2024-05-26 22:00:00,2.0787978
2024-05-26 23:00:00,2.04705
2024-05-27 00:00:00,1.9319725
2024-05-27 01:00:00,1.8174653
2024-05-27 02:00:00,1.724115
2024-05-27 03:00:00,1.6468773
2024-05-27 04:00:00,1.6753883
2024-05-27 05:00:00,1.8675096
2024-05-27 06:00:00,2.0609095
2024-05-27 07:00:00,2.184905
2024-05-27 08:00:00,2.2566023
2024-05-27 09:00:00,2.2735052
2024-05-27 10:00:00,2.1764214
2024-05-27 11:00:00,1.9576685
2024-05-27 12:00:00,1.736121
2024-05-27 13:00:00,1.5539402
2024-05-27 14:00:00,1.3794667
2024-05-27 15:00:00,1.1960648
2024-05-27 16:00:00,1.0340333
2024-05-27 17:00:00,0.91867954
2024-05-27 18:00:00,0.91812325
2024-05-27 19:00:00,1.0118378
2024-05-27 20:00:00,1.120146
2024-05-27 21:00:00,1.1486852
2024-05-27 22:00:00,1.0775752
2024-05-27 23:00:00,0.89810246
2024-05-28 00:00:00,0.7168112
2024-05-28 01:00:00,0.56335604
2024-05-28 02:00:00,0.42070028
2024-05-28 03:00:00,0.28841972
2024-05-28 04:00:00,0.16599748
2024-05-28 05:00:00,0.12259373
2024-05-28 06:00:00,0.3096696
2024-05-28 07:00:00,0.60161376
2024-05-28 08:00:00,0.81902045
2024-05-28 09:00:00,0.97294724
2024-05-28 10:00:00,1.0887256
2024-05-28 11:00:00,1.1083888
2024-05-28 12:00:00,0.9842494
2024-05-28 13:00:00,0.81695616
2024-05-28 14:00:00,0.6844961
2024-05-28 15:00:00,0.5663108
2024-05-28 16:00:00,0.4511845
2024-05-28 17:00:00,0.34518224
2024-05-28 18:00:00,0.320479
2024-05-28 19:00:00,0.5001131
2024-05-28 20:00:00,0.71262074
2024-05-28 21:00:00,0.82890475
2024-05-28 22:00:00,0.8725089
2024-05-28 23:00:00,0.8422081
2024-05-29 00:00:00,0.72253376
2024-05-29 01:00:00,0.57676953
2024-05-29 02:00:00,0.45693612
2024-05-29 03:00:00,0.3469785
2024-05-29 04:00:00,0.24055745
2024-05-29 05:00:00,0.15418734
2024-05-29 06:00:00,0.18246399
2024-05-29 07:00:00,0.4353985
2024-05-29 08:00:00,0.7126442
2024-05-29 09:00:00,0.9062417
2024-05-29 10:00:00,1.0580587
2024-05-29 11:00:00,1.1535721
2024-05-29 12:00:00,1.1262848
2024-05-29 13:00:00,0.9718199
2024-05-29 14:00:00,0.81879556
2024-05-29 15:00:00,0.6922308
2024-05-29 16:00:00,0.5737542
2024-05-29 17:00:00,0.46115035
2024-05-29 18:00:00,0.35895312
2024-05-29 19:00:00,0.33685374
2024-05-29 20:00:00,0.48334166
2024-05-29 21:00:00,0.67143035
2024-05-29 22:00:00,0.7756124
2024-05-29 23:00:00,0.80657935
2024-05-30 00:00:00,0.7832915
2024-05-30 01:00:00,0.6836478
2024-05-30 02:00:00,0.55029
2024-05-30 03:00:00,0.44409144
2024-05-30 04:00:00,0.35871813
2024-05-30 05:00:00,0.27164292
2024-05-30 06:00:00,0.1959068
2024-05-30 07:00:00,0.22422932
2024-05-30 08:00:00,0.44238552
2024-05-30 09:00:00,0.68344736
2024-05-30 10:00:00,0.85323876
2024-05-30 11:00:00,0.9757875
2024-05-30 12:00:00,1.0470439
2024-05-30 13:00:00,1.0148883
2024-05-30 14:00:00,0.8680201
2024-05-30 15:00:00,0.7162835
2024-05-30 16:00:00,0.5870279
2024-05-30 17:00:00,0.46809396
2024-05-30 18:00:00,0.34410858
